State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Minnesota,8/1/2022,4522,3087,68.3,-1.7,3003,84,-23.6,2.7,226,65.0,-142,0.37,71,2.4,112,3.8
Mississippi,8/1/2022,2280,1247,54.7,-1.2,1198,49,-33.6,3.9,83,59.6,-34,0.59,39,3.4,53,4.6
Missouri,8/1/2022,4885,3062,62.7,-1.3,2987,74,-28.8,2.4,217,76.4,-143,0.34,99,3.4,113,3.9
Montana,8/1/2022,903,570,63.1,-0.5,554,16,-19.4,2.7,45,60.7,-29,0.35,18,3.6,26,5.1
Nebraska,8/1/2022,1521,1060,69.7,-0.4,1033,27,-14.9,2.6,78,56.0,-51,0.35,27,2.6,40,3.9
Nevada,8/1/2022,2537,1569,61.8,-2.4,1485,85,23.4,5.4,105,43.8,-20,0.81,42,2.9,73,5.0
New Hampshire,8/1/2022,1161,769,66.3,-2.2,749,21,3.5,2.7,50,47.1,-29,0.42,20,2.9,27,4.0
New Jersey,8/1/2022,7423,4762,64.2,-0.2,4619,143,-25.6,3.0,263,33.5,-120,0.54,86,2.0,143,3.4
New Mexico,8/1/2022,1677,942,56.1,-1.9,910,32,-37.3,3.4,66,37.5,-34,0.48,23,2.7,38,4.5
New York,8/1/2022,15957,9600,60.2,-0.7,9229,370,-8.9,3.9,548,28.0,-178,0.68,160,1.7,284,3.0
North Carolina,8/1/2022,8484,5170,60.9,-0.3,4969,200,5.1,3.9,362,55.4,-162,0.55,152,3.2,233,4.9
North Dakota,8/1/2022,599,414,69.1,-0.1,405,8,-7.0,2.0,33,37.5,-25,0.26,13,3.0,20,4.7
Ohio,8/1/2022,9342,5738,61.4,-2.1,5505,233,-13.9,4.1,442,72.7,-209,0.53,127,2.3,230,4.2
Oklahoma,8/1/2022,3098,1888,60.9,0.3,1828,60,3.0,3.2,128,56.1,-68,0.47,53,3.1,81,4.8
Oregon,8/1/2022,3466,2176,62.8,1.8,2082,95,26.4,4.3,137,26.9,-42,0.69,48,2.4,81,4.1
Pennsylvania,8/1/2022,10490,6476,61.7,-1.2,6197,279,-9.5,4.3,388,37.6,-109,0.72,134,2.2,175,2.9
Rhode Island,8/1/2022,900,571,63.4,-0.8,552,19,-8.9,3.4,40,66.7,-21,0.48,14,2.8,22,4.4
South Carolina,8/1/2022,4215,2375,56.3,-1.2,2296,78,14.4,3.3,176,61.5,-98,0.44,76,3.4,114,5.1
South Dakota,8/1/2022,698,476,68.1,-0.8,465,10,-12.0,2.2,34,47.8,-24,0.30,12,2.7,22,4.9
Tennessee,8/1/2022,5605,3343,59.6,-1.7,3231,112,-3.5,3.3,264,91.3,-152,0.42,105,3.2,153,4.7
Texas,8/1/2022,23019,14679,63.8,-0.1,14134,545,9.1,3.7,983,86.9,-438,0.55,394,2.9,613,4.5
Utah,8/1/2022,2543,1750,68.8,0.6,1708,42,3.1,2.4,114,54.1,-72,0.37,48,2.9,69,4.1
Vermont,8/1/2022,542,342,63.2,-2.6,333,9,21.3,2.8,24,41.2,-15,0.39,11,3.6,12,4.0
Virginia,8/1/2022,6845,4434,64.8,-0.9,4311,123,-5.7,2.8,339,54.8,-216,0.36,115,2.8,185,4.5
Washington,8/1/2022,6233,4001,64.2,-1.2,3831,170,12.2,4.3,223,13.2,-53,0.76,73,2.1,137,3.9
West Virginia,8/1/2022,1435,785,54.7,-0.3,753,32,-23.2,4.1,62,26.5,-30,0.52,24,3.4,34,4.8
Wisconsin,8/1/2022,4744,3076,64.8,-1.0,2982,95,2.6,3.1,217,35.6,-122,0.44,75,2.6,113,3.8
Wyoming,8/1/2022,458,293,64.0,-1.7,283,11,-21.8,3.7,20,11.1,-9,0.54,10,3.5,14,4.9
Alabama,7/1/2022,4014,2289,57.0,-0.2,2230,59,-19.9,2.6,152,53.5,-93,0.39,70,3.4,97,4.7
Alaska,7/1/2022,547,356,65.2,0.5,343,13,-30.1,3.8,28,21.7,-15,0.48,12,3.9,20,6.4
Arizona,7/1/2022,5864,3625,61.8,-0.1,3484,141,-16.3,3.9,219,43.1,-78,0.64,113,3.7,152,5.0
Arkansas,7/1/2022,2380,1371,57.6,-0.3,1325,46,-5.2,3.3,100,56.3,-54,0.46,46,3.5,64,4.9
California,7/1/2022,31100,19238,61.9,-1.2,18506,732,-14.9,3.8,1192,47.5,-460,0.61,401,2.3,639,3.6
Colorado,7/1/2022,4683,3198,68.3,-0.5,3111,87,-12.2,2.7,221,75.4,-134,0.39,76,2.7,131,4.6
Connecticut,7/1/2022,2947,1929,65.4,-1.0,1853,76,1.9,4.0,113,68.7,-37,0.67,39,2.4,66,4.0
Delaware,7/1/2022,822,497,60.4,-0.5,475,22,24.3,4.4,33,50.0,-11,0.66,18,3.9,22,4.8
District of Columbia,7/1/2022,550,391,71.2,0.0,375,16,-28.7,4.1,49,63.3,-33,0.33,15,2.0,26,3.4
Florida,7/1/2022,18143,10801,59.5,0.1,10504,297,-3.7,2.7,623,44.2,-326,0.48,303,3.2,465,5.0
Georgia,7/1/2022,8518,5238,61.5,-1.4,5080,158,-15.9,3.0,440,85.7,-282,0.36,245,5.1,269,5.6
Hawaii,7/1/2022,1123,680,60.5,-0.7,656,24,57.1,3.5,44,46.7,-20,0.54,15,2.5,29,4.8
Idaho,7/1/2022,1508,953,63.2,-0.8,928,26,2.5,2.7,61,56.4,-35,0.42,28,3.4,42,5.1
Illinois,7/1/2022,10032,6467,64.5,0.2,6180,287,14.5,4.4,450,73.7,-163,0.64,155,2.6,243,4.0
Indiana,7/1/2022,5358,3417,63.8,-0.5,3313,104,-9.5,3.0,223,42.0,-119,0.47,89,2.8,142,4.5
Iowa,7/1/2022,2519,1719,68.2,-1.0,1671,48,5.1,2.8,110,42.9,-62,0.43,41,2.6,64,4.1
Kansas,7/1/2022,2267,1506,66.4,-0.7,1466,40,-18.0,2.7,101,48.5,-61,0.40,35,2.5,52,3.7
Kentucky,7/1/2022,3541,2051,57.9,-0.6,1970,81,-5.2,3.9,171,76.3,-90,0.47,80,4.1,95,4.9
Louisiana,7/1/2022,3558,2083,58.5,0.3,2011,72,-26.3,3.5,159,74.7,-87,0.46,70,3.7,96,5.0
Maine,7/1/2022,1153,674,58.4,-3.4,656,18,-19.4,2.7,50,61.3,-32,0.36,19,3.0,26,4.1
Maryland,7/1/2022,4886,3173,64.9,-4.3,3071,102,-12.7,3.2,208,26.8,-106,0.49,71,2.6,113,4.2
Massachusetts,7/1/2022,5750,3745,65.1,-1.0,3608,137,28.7,3.7,317,92.1,-180,0.43,78,2.1,129,3.5
Michigan,7/1/2022,8080,4845,60.0,-1.3,4645,200,6.6,4.1,301,40.0,-101,0.66,102,2.4,187,4.3
Minnesota,7/1/2022,4519,3084,68.2,-1.7,3005,79,-28.2,2.6,223,62.8,-144,0.35,71,2.4,109,3.7
Mississippi,7/1/2022,2279,1251,54.9,-1.0,1204,47,-35.5,3.8,85,63.5,-38,0.56,44,3.8,58,5.0
Missouri,7/1/2022,4882,3059,62.7,-1.3,2991,69,-34.2,2.2,215,74.8,-146,0.32,86,3.0,125,4.3
Montana,7/1/2022,901,570,63.3,-0.4,554,16,-19.4,2.7,42,50.0,-26,0.37,18,3.5,27,5.3
Nebraska,7/1/2022,1520,1060,69.8,-0.4,1035,26,-19.7,2.4,78,56.0,-52,0.33,26,2.5,45,4.4
Nevada,7/1/2022,2533,1562,61.7,-2.6,1479,83,21.0,5.3,101,38.4,-18,0.82,43,3.0,72,5.0
New Hampshire,7/1/2022,1160,769,66.3,-2.1,750,20,-3.1,2.5,51,50.0,-31,0.38,18,2.6,31,4.6
New Jersey,7/1/2022,7420,4759,64.1,-0.2,4606,153,-20.3,3.2,281,42.6,-128,0.55,91,2.2,166,3.9
New Mexico,7/1/2022,1676,945,56.4,-1.6,911,34,-32.4,3.6,62,29.2,-28,0.55,24,2.8,35,4.1
New York,7/1/2022,15961,9621,60.3,-0.6,9240,381,-6.3,4.0,557,30.1,-176,0.68,168,1.8,290,3.1
North Carolina,7/1/2022,8471,5172,61.1,-0.2,4979,194,1.5,3.7,360,54.5,-166,0.54,178,3.7,235,4.9
North Dakota,7/1/2022,599,414,69.1,0.0,406,8,-9.5,2.0,32,33.3,-24,0.26,11,2.6,20,4.7
Ohio,7/1/2022,9339,5752,61.6,-1.9,5524,228,-15.6,4.0,447,74.6,-219,0.51,132,2.4,260,4.7
Oklahoma,7/1/2022,3095,1888,61.0,0.4,1830,58,0.0,3.1,133,62.2,-75,0.44,73,4.3,86,5.1
Oregon,7/1/2022,3465,2174,62.7,1.7,2085,89,19.3,4.1,127,17.6,-38,0.70,53,2.7,87,4.4
Pennsylvania,7/1/2022,10488,6480,61.8,-1.1,6203,277,-10.1,4.3,437,55.0,-160,0.63,109,1.8,188,3.2
Rhode Island,7/1/2022,900,572,63.6,-0.6,554,18,-13.0,3.2,39,62.5,-21,0.47,12,2.4,25,5.0
South Carolina,7/1/2022,4207,2377,56.5,-1.0,2300,77,12.8,3.2,168,54.1,-91,0.46,84,3.8,109,4.9
South Dakota,7/1/2022,697,476,68.3,-0.6,466,10,-14.3,2.1,33,43.5,-23,0.30,11,2.5,20,4.5
Tennessee,7/1/2022,5597,3359,60.0,-1.3,3249,110,-5.2,3.3,240,73.9,-130,0.46,114,3.5,157,4.8
Texas,7/1/2022,22975,14687,63.9,0.1,14135,552,10.4,3.8,1019,93.7,-467,0.54,415,3.1,602,4.5
Utah,7/1/2022,2538,1748,68.8,0.6,1707,41,0.8,2.3,103,39.2,-62,0.40,41,2.5,69,4.1
Vermont,7/1/2022,542,342,63.2,-2.6,334,9,10.9,2.5,26,52.9,-17,0.33,9,3.0,11,3.7
Virginia,7/1/2022,6840,4428,64.7,-0.9,4313,115,-11.5,2.6,330,50.7,-215,0.35,111,2.7,169,4.2
Washington,7/1/2022,6227,3995,64.2,-1.2,3832,163,7.2,4.1,187,-5.1,-24,0.87,83,2.4,130,3.7
West Virginia,7/1/2022,1435,786,54.7,-0.2,754,32,-24.9,4.0,59,20.4,-27,0.54,26,3.7,34,4.8
Wisconsin,7/1/2022,4741,3082,65.0,-0.9,2988,94,1.1,3.0,220,37.5,-126,0.43,70,2.4,106,3.6
Wyoming,7/1/2022,458,293,63.9,-1.8,282,10,-25.4,3.5,20,11.1,-10,0.52,10,3.5,17,6.0
Alabama,6/1/2022,4011,2291,57.1,-0.2,2233,59,-21.1,2.6,146,47.5,-87,0.40,62,3.0,88,4.2
Alaska,6/1/2022,547,357,65.3,0.6,343,14,-28.3,3.9,29,26.1,-15,0.47,15,4.8,20,6.4
Arizona,6/1/2022,5854,3617,61.8,-0.2,3481,136,-19.1,3.8,218,42.5,-82,0.62,102,3.3,151,5.0
Arkansas,6/1/2022,2378,1371,57.7,-0.2,1326,44,-7.7,3.2,96,50.0,-52,0.46,42,3.2,61,4.7
California,6/1/2022,31092,19256,61.9,-1.1,18512,744,-13.6,3.9,1345,66.5,-601,0.55,467,2.7,629,3.6
Colorado,6/1/2022,4678,3204,68.5,-0.3,3114,90,-8.9,2.8,236,87.3,-146,0.38,87,3.0,139,4.9
Connecticut,6/1/2022,2946,1937,65.8,-0.7,1859,78,4.3,4.0,119,77.6,-41,0.66,36,2.2,71,4.3
Delaware,6/1/2022,820,497,60.6,-0.3,476,22,22.9,4.3,33,50.0,-11,0.65,15,3.3,23,5.0
District of Columbia,6/1/2022,549,391,71.3,0.1,374,17,-24.7,4.4,45,50.0,-28,0.38,15,2.0,25,3.3
Florida,6/1/2022,18109,10782,59.5,0.1,10479,303,-1.7,2.8,621,43.8,-318,0.49,349,3.7,462,5.0
Georgia,6/1/2022,8507,5241,61.6,-1.3,5086,156,-17.2,3.0,376,58.6,-220,0.41,184,3.8,270,5.6
Hawaii,6/1/2022,1123,679,60.4,-0.8,655,23,53.6,3.4,46,53.3,-23,0.50,14,2.3,31,5.1
Idaho,6/1/2022,1505,952,63.3,-0.8,927,25,-1.0,2.6,61,56.4,-36,0.41,29,3.6,43,5.3
Illinois,6/1/2022,10035,6477,64.5,0.2,6192,285,13.8,4.4,449,73.4,-164,0.63,154,2.6,271,4.5
Indiana,6/1/2022,5355,3417,63.8,-0.5,3316,101,-12.4,2.9,225,43.3,-124,0.45,97,3.0,140,4.4
Iowa,6/1/2022,2518,1719,68.3,-0.9,1675,44,-2.4,2.6,118,53.2,-74,0.37,44,2.8,65,4.1
Kansas,6/1/2022,2266,1507,66.5,-0.6,1468,38,-21.9,2.6,98,44.1,-60,0.39,35,2.5,52,3.7
Kentucky,6/1/2022,3539,2054,58.0,-0.5,1974,80,-6.3,3.9,167,72.2,-87,0.48,71,3.7,98,5.1
Louisiana,6/1/2022,3559,2088,58.7,0.4,2015,73,-25.7,3.5,163,79.1,-90,0.45,63,3.3,96,5.0
Maine,6/1/2022,1152,676,58.7,-3.2,658,18,-20.9,2.6,48,54.8,-30,0.37,15,2.4,26,4.1
Maryland,6/1/2022,4885,3175,65.0,-4.3,3073,102,-13.4,3.2,224,36.6,-122,0.45,73,2.7,110,4.1
Massachusetts,6/1/2022,5749,3755,65.3,-0.8,3615,140,31.4,3.7,347,110.3,-207,0.40,73,2.0,136,3.7
Michigan,6/1/2022,8077,4848,60.0,-1.3,4653,194,3.7,4.0,345,60.5,-151,0.56,121,2.8,160,3.7
Minnesota,6/1/2022,4517,3080,68.2,-1.8,3005,75,-32.1,2.4,228,66.4,-153,0.33,69,2.4,102,3.5
Mississippi,6/1/2022,2279,1254,55.0,-0.9,1208,46,-37.0,3.7,87,67.3,-41,0.53,39,3.4,55,4.8
Missouri,6/1/2022,4880,3058,62.7,-1.3,2992,65,-37.4,2.1,232,88.6,-167,0.28,95,3.3,122,4.2
Montana,6/1/2022,899,570,63.3,-0.3,554,15,-20.4,2.7,45,60.7,-30,0.34,19,3.8,30,6.0
Nebraska,6/1/2022,1519,1060,69.8,-0.3,1036,24,-25.0,2.2,79,58.0,-55,0.30,28,2.7,41,4.0
Nevada,6/1/2022,2530,1555,61.5,-2.8,1473,82,19.1,5.2,108,47.9,-26,0.76,40,2.8,98,6.8
New Hampshire,6/1/2022,1159,769,66.3,-2.1,751,18,-9.9,2.4,53,55.9,-35,0.34,21,3.1,34,5.0
New Jersey,6/1/2022,7418,4753,64.1,-0.3,4590,163,-15.2,3.4,277,40.6,-114,0.59,78,1.9,165,3.9
New Mexico,6/1/2022,1675,948,56.6,-1.4,911,37,-27.6,3.9,65,35.4,-28,0.56,23,2.7,39,4.6
New York,6/1/2022,15967,9634,60.3,-0.6,9244,390,-4.0,4.1,541,26.4,-151,0.72,177,1.9,320,3.4
North Carolina,6/1/2022,8459,5172,61.1,-0.1,4987,185,-2.8,3.6,380,63.1,-195,0.49,158,3.3,222,4.7
North Dakota,6/1/2022,598,414,69.3,0.1,406,8,-10.2,2.0,32,33.3,-24,0.25,13,3.1,18,4.2
Ohio,6/1/2022,9336,5764,61.7,-1.8,5540,224,-16.9,3.9,414,61.7,-190,0.54,132,2.4,240,4.4
Oklahoma,6/1/2022,3092,1889,61.1,0.5,1833,56,-3.3,3.0,125,52.4,-69,0.45,53,3.2,86,5.1
Oregon,6/1/2022,3465,2172,62.7,1.7,2089,84,12.2,3.9,138,27.8,-54,0.61,53,2.7,84,4.3
Pennsylvania,6/1/2022,10487,6487,61.9,-1.0,6210,277,-10.1,4.3,482,70.9,-205,0.58,155,2.6,194,3.3
Rhode Island,6/1/2022,899,573,63.7,-0.5,555,18,-16.5,3.1,41,70.8,-23,0.43,12,2.4,23,4.6
South Carolina,6/1/2022,4200,2380,56.7,-0.9,2304,76,11.1,3.2,179,64.2,-103,0.42,81,3.7,117,5.3
South Dakota,6/1/2022,695,476,68.5,-0.4,467,10,-17.3,2.0,33,43.5,-23,0.29,13,2.9,18,4.0
Tennessee,6/1/2022,5590,3373,60.3,-1.0,3264,109,-6.0,3.2,252,82.6,-143,0.43,107,3.3,147,4.6
Texas,6/1/2022,22935,14685,64.0,0.2,14131,554,10.9,3.8,974,85.2,-420,0.57,394,3.0,648,4.9
Utah,6/1/2022,2534,1745,68.9,0.7,1705,40,-1.7,2.3,116,56.8,-76,0.34,45,2.7,69,4.2
Vermont,6/1/2022,542,342,63.2,-2.6,334,8,2.2,2.3,26,52.9,-18,0.31,8,2.7,13,4.3
Virginia,6/1/2022,6836,4427,64.8,-0.9,4316,111,-14.5,2.5,312,42.5,-201,0.36,110,2.7,170,4.2
Washington,6/1/2022,6220,3989,64.1,-1.2,3832,157,3.7,3.9,225,14.2,-68,0.70,82,2.3,130,3.7
West Virginia,6/1/2022,1436,786,54.8,-0.2,756,31,-27.3,3.9,57,16.3,-26,0.54,23,3.2,34,4.8
Wisconsin,6/1/2022,4738,3087,65.2,-0.7,2996,91,-1.7,2.9,224,40.0,-133,0.41,70,2.4,109,3.7
Wyoming,6/1/2022,458,292,63.8,-1.9,282,10,-29.0,3.4,23,27.8,-13,0.43,11,3.9,17,6.0
Alabama,5/1/2022,4009,2291,57.2,-0.1,2233,58,-22.0,2.5,157,58.6,-99,0.37,68,3.3,104,5.0
Alaska,5/1/2022,547,357,65.4,0.6,343,14,-26.9,3.9,30,30.4,-16,0.47,15,4.7,22,6.9
Arizona,5/1/2022,5845,3609,61.7,-0.2,3477,132,-21.5,3.7,222,45.1,-90,0.59,100,3.3,140,4.6
Arkansas,5/1/2022,2376,1371,57.7,-0.2,1327,44,-9.5,3.2,96,50.0,-52,0.45,42,3.2,64,4.9
California,5/1/2022,31086,19250,61.9,-1.1,18489,760,-11.7,4.0,1251,54.8,-491,0.61,448,2.6,665,3.8
Colorado,5/1/2022,4673,3208,68.6,-0.1,3113,94,-4.9,2.9,229,81.7,-135,0.41,95,3.3,155,5.4
Connecticut,5/1/2022,2945,1943,66.0,-0.5,1864,80,6.8,4.1,111,65.7,-31,0.72,41,2.5,62,3.8
Delaware,5/1/2022,819,498,60.8,-0.1,476,21,22.5,4.3,35,59.1,-14,0.61,15,3.3,23,5.0
District of Columbia,5/1/2022,549,391,71.2,0.0,373,18,-20.5,4.6,57,90.0,-39,0.32,16,2.1,27,3.5
Florida,5/1/2022,18076,10752,59.5,0.0,10442,309,0.4,2.9,729,68.8,-420,0.42,309,3.3,435,4.7
Georgia,5/1/2022,8496,5243,61.7,-1.2,5088,154,-18.0,2.9,436,84.0,-282,0.35,177,3.7,268,5.6
Hawaii,5/1/2022,1124,677,60.2,-1.0,654,23,50.8,3.4,54,80.0,-31,0.42,15,2.5,34,5.6
Idaho,5/1/2022,1502,951,63.3,-0.8,927,24,-4.0,2.5,60,53.8,-36,0.40,29,3.6,42,5.2
Illinois,5/1/2022,10038,6485,64.6,0.3,6199,286,14.4,4.4,507,95.8,-221,0.56,164,2.7,256,4.3
Indiana,5/1/2022,5352,3412,63.8,-0.5,3315,98,-15.1,2.9,250,59.2,-152,0.39,117,3.7,137,4.3
Iowa,5/1/2022,2517,1719,68.3,-0.9,1677,41,-8.2,2.4,131,70.1,-90,0.32,48,3.1,61,3.9
Kansas,5/1/2022,2266,1507,66.5,-0.6,1470,37,-24.8,2.5,110,61.8,-73,0.34,38,2.7,51,3.7
Kentucky,5/1/2022,3538,2055,58.1,-0.5,1976,79,-7.4,3.8,178,83.5,-99,0.44,76,3.9,107,5.5
Louisiana,5/1/2022,3561,2094,58.8,0.5,2019,74,-24.3,3.5,156,71.4,-82,0.48,61,3.2,88,4.6
Maine,5/1/2022,1151,677,58.8,-3.0,659,18,-20.8,2.6,50,61.3,-32,0.35,17,2.7,28,4.4
Maryland,5/1/2022,4885,3175,65.0,-4.3,3075,100,-15.1,3.1,227,38.4,-127,0.44,72,2.7,120,4.4
Massachusetts,5/1/2022,5748,3759,65.4,-0.7,3619,140,31.6,3.7,309,87.3,-169,0.45,85,2.3,142,3.9
Michigan,5/1/2022,8075,4847,60.0,-1.3,4655,192,2.4,4.0,369,71.6,-177,0.52,126,2.9,169,3.9
Minnesota,5/1/2022,4515,3076,68.1,-1.8,3004,72,-34.2,2.4,235,71.5,-163,0.31,70,2.4,112,3.9
Mississippi,5/1/2022,2279,1257,55.2,-0.8,1211,46,-37.3,3.7,85,63.5,-39,0.54,39,3.4,56,4.8
Missouri,5/1/2022,4878,3057,62.7,-1.3,2991,65,-37.2,2.1,240,95.1,-175,0.27,98,3.4,114,3.9
Montana,5/1/2022,898,569,63.3,-0.3,554,15,-22.2,2.6,45,60.7,-30,0.33,19,3.7,30,5.9
Nebraska,5/1/2022,1518,1060,69.8,-0.3,1037,22,-29.6,2.1,86,72.0,-64,0.26,33,3.2,41,4.0
Nevada,5/1/2022,2527,1547,61.2,-3.1,1466,81,18.1,5.2,115,57.5,-34,0.70,40,2.8,83,5.7
New Hampshire,5/1/2022,1158,767,66.3,-2.2,750,17,-15.4,2.2,56,64.7,-39,0.30,20,2.9,33,4.8
New Jersey,5/1/2022,7417,4741,63.9,-0.4,4568,172,-10.5,3.6,288,46.2,-116,0.60,105,2.5,173,4.1
New Mexico,5/1/2022,1675,950,56.7,-1.3,911,39,-23.0,4.1,68,41.7,-29,0.57,25,3.0,40,4.7
New York,5/1/2022,15973,9633,60.3,-0.6,9235,398,-2.1,4.1,581,35.7,-183,0.69,183,1.9,308,3.3
North Carolina,5/1/2022,8447,5168,61.2,-0.1,4990,177,-6.9,3.4,396,70.0,-219,0.45,148,3.1,235,5.0
North Dakota,5/1/2022,598,415,69.4,0.2,407,8,-8.9,2.0,36,50.0,-28,0.23,14,3.3,19,4.5
Ohio,5/1/2022,9334,5768,61.8,-1.7,5546,223,-17.5,3.9,431,68.4,-208,0.52,137,2.5,207,3.8
Oklahoma,5/1/2022,3089,1889,61.1,0.5,1834,54,-6.0,2.9,128,56.1,-74,0.43,57,3.4,106,6.3
Oregon,5/1/2022,3464,2172,62.7,1.7,2092,80,6.5,3.7,147,36.1,-67,0.54,54,2.8,90,4.6
Pennsylvania,5/1/2022,10487,6491,61.9,-1.0,6213,279,-9.6,4.3,448,58.9,-169,0.62,120,2.0,180,3.0
Rhode Island,5/1/2022,899,573,63.7,-0.5,556,17,-19.2,3.0,41,70.8,-24,0.41,13,2.6,22,4.4
South Carolina,5/1/2022,4192,2381,56.8,-0.7,2306,75,10.1,3.2,180,65.1,-105,0.42,82,3.7,109,5.0
South Dakota,5/1/2022,694,476,68.6,-0.3,467,9,-20.1,2.0,37,60.9,-28,0.25,12,2.7,19,4.2
Tennessee,5/1/2022,5583,3381,60.6,-0.8,3272,109,-5.6,3.2,265,92.0,-156,0.41,111,3.5,153,4.8
Texas,5/1/2022,22896,14671,64.1,0.2,14115,555,11.1,3.8,1002,90.5,-447,0.55,397,3.0,625,4.7
Utah,5/1/2022,2529,1742,68.9,0.7,1703,39,-3.7,2.2,108,45.9,-69,0.36,47,2.8,76,4.6
Vermont,5/1/2022,541,342,63.2,-2.6,335,8,-2.5,2.2,27,58.8,-19,0.28,7,2.3,14,4.7
Virginia,5/1/2022,6832,4428,64.8,-0.8,4316,113,-13.6,2.5,316,44.3,-203,0.36,112,2.8,190,4.7
Washington,5/1/2022,6214,3983,64.1,-1.3,3828,155,2.1,3.9,229,16.2,-74,0.68,96,2.7,136,3.9
West Virginia,5/1/2022,1436,787,54.8,-0.2,757,30,-29.7,3.8,60,22.4,-30,0.49,22,3.1,32,4.6
Wisconsin,5/1/2022,4735,3092,65.3,-0.6,3003,88,-4.6,2.9,252,57.5,-164,0.35,79,2.7,106,3.6
Wyoming,5/1/2022,457,291,63.7,-2.0,282,9,-31.6,3.3,24,33.3,-15,0.40,10,3.5,17,6.0
Alabama,4/1/2022,4006,2290,57.2,-0.1,2232,58,-22.2,2.5,152,53.5,-94,0.38,69,3.3,106,5.1
Alaska,4/1/2022,546,357,65.4,0.7,343,15,-24.2,4.1,34,47.8,-19,0.43,17,5.4,21,6.6
Arizona,4/1/2022,5835,3599,61.7,-0.3,3470,129,-23.0,3.6,259,69.3,-130,0.50,130,4.3,157,5.2
Arkansas,4/1/2022,2374,1370,57.7,-0.2,1327,43,-10.3,3.1,102,59.4,-59,0.42,43,3.3,73,5.6
California,4/1/2022,31079,19247,61.9,-1.1,18455,791,-8.1,4.1,1298,60.6,-507,0.61,456,2.6,631,3.6
Colorado,4/1/2022,4669,3208,68.7,-0.1,3109,99,-0.4,3.1,217,72.2,-118,0.45,100,3.5,134,4.7
Connecticut,4/1/2022,2944,1948,66.2,-0.3,1866,82,9.6,4.2,115,71.6,-33,0.71,34,2.1,58,3.5
Delaware,4/1/2022,818,498,60.9,0.0,477,22,22.7,4.3,37,68.2,-15,0.58,15,3.3,24,5.3
District of Columbia,4/1/2022,549,389,71.0,-0.2,370,19,-16.3,4.9,47,56.7,-28,0.40,16,2.1,27,3.5
Florida,4/1/2022,18042,10712,59.4,-0.1,10395,317,2.8,3.0,765,77.1,-448,0.41,383,4.1,468,5.1
Georgia,4/1/2022,8485,5240,61.8,-1.1,5086,154,-18.0,2.9,419,76.8,-265,0.37,168,3.5,275,5.8
Hawaii,4/1/2022,1124,674,60.0,-1.2,652,22,48.1,3.3,45,50.0,-23,0.50,17,2.8,31,5.2
Idaho,4/1/2022,1498,948,63.3,-0.8,925,24,-5.7,2.5,61,56.4,-37,0.39,29,3.6,42,5.2
Illinois,4/1/2022,10040,6491,64.7,0.3,6201,290,15.6,4.5,489,88.8,-199,0.59,167,2.8,263,4.4
Indiana,4/1/2022,5349,3405,63.7,-0.6,3309,95,-17.2,2.8,239,52.2,-144,0.40,110,3.5,148,4.7
Iowa,4/1/2022,2516,1717,68.3,-1.0,1677,40,-11.3,2.3,117,51.9,-77,0.34,42,2.7,65,4.2
Kansas,4/1/2022,2265,1505,66.5,-0.6,1469,36,-26.7,2.4,99,45.6,-63,0.36,36,2.6,53,3.8
Kentucky,4/1/2022,3537,2056,58.1,-0.5,1977,79,-7.9,3.8,213,119.6,-134,0.37,70,3.6,123,6.3
Louisiana,4/1/2022,3562,2097,58.9,0.6,2021,76,-22.5,3.6,149,63.7,-73,0.51,63,3.3,99,5.2
Maine,4/1/2022,1150,678,59.0,-2.9,659,18,-18.3,2.7,50,61.3,-32,0.37,16,2.5,27,4.2
Maryland,4/1/2022,4884,3174,65.0,-4.3,3075,98,-16.2,3.1,223,36.0,-125,0.44,68,2.5,124,4.6
Massachusetts,4/1/2022,5747,3759,65.4,-0.7,3620,139,30.7,3.7,304,84.2,-165,0.46,72,2.0,126,3.5
Michigan,4/1/2022,8072,4843,60.0,-1.3,4651,193,2.8,4.0,350,62.8,-157,0.55,110,2.5,202,4.7
Minnesota,4/1/2022,4513,3072,68.1,-1.9,3000,72,-34.5,2.3,239,74.5,-167,0.30,72,2.5,108,3.7
Mississippi,4/1/2022,2278,1259,55.2,-0.7,1212,47,-36.3,3.7,91,75.0,-44,0.51,38,3.3,57,4.9
Missouri,4/1/2022,4875,3057,62.7,-1.3,2988,69,-33.7,2.3,226,83.7,-157,0.31,70,2.4,105,3.6
Montana,4/1/2022,896,567,63.3,-0.4,553,15,-24.1,2.6,46,64.3,-31,0.32,20,4.0,29,5.7
Nebraska,4/1/2022,1517,1059,69.8,-0.3,1037,21,-32.9,2.0,79,58.0,-58,0.27,30,2.9,43,4.2
Nevada,4/1/2022,2524,1538,61.0,-3.3,1458,81,17.8,5.2,112,53.4,-31,0.72,47,3.3,69,4.8
New Hampshire,4/1/2022,1157,765,66.2,-2.3,749,16,-18.6,2.1,58,70.6,-42,0.28,17,2.5,28,4.1
